LON,LAT,GAP
-106.0,28.2,360.00
-106.0,28.25,360.00
-106.0,28.3,360.00
-106.0,28.35,360.00
-106.0,28.4,360.00
-106.0,28.45,360.00
-106.0,28.5,360.00
-106.0,28.55,360.00
-106.0,28.6,360.00
-106.0,28.65,360.00
-106.0,28.7,360.00
-106.0,28.75,360.00
-106.0,28.8,360.00
-106.0,28.85,360.00
-106.0,28.9,360.00
-106.0,28.95,360.00
-106.0,29.0,360.00
-106.0,29.05,360.00
-106.0,29.1,360.00
-106.0,29.15,360.00
-106.0,29.2,360.00
-106.0,29.25,360.00
-106.0,29.3,360.00
-106.0,29.35,360.00
-106.0,29.4,360.00
-106.0,29.45,360.00
-106.0,29.5,360.00
-106.0,29.55,360.00
-106.0,29.6,360.00
-106.0,29.65,360.00
-106.0,29.7,360.00
-106.0,29.75,360.00
-106.0,29.8,360.00
-106.0,29.85,360.00
-106.0,29.9,360.00
-106.0,29.95,360.00
-106.0,30.0,360.00
-106.0,30.05,360.00
-106.0,30.1,360.00
-106.0,30.15,360.00
-106.0,30.2,360.00
-106.0,30.25,360.00
-106.0,30.3,360.00
-106.0,30.35,360.00
-106.0,30.4,360.00
-106.0,30.45,360.00
-106.0,30.5,360.00
-106.0,30.55,360.00
-106.0,30.6,360.00
-106.0,30.65,360.00
-106.0,30.7,360.00
-106.0,30.75,360.00
-106.0,30.8,360.00
-106.0,30.85,360.00
-106.0,30.9,360.00
-106.0,30.95,360.00
-106.0,31.0,360.00
-106.0,31.05,360.00
-106.0,31.1,360.00
-106.0,31.15,360.00
-106.0,31.2,360.00
-106.0,31.25,360.00
-106.0,31.3,360.00
-106.0,31.35,360.00
-106.0,31.4,360.00
-106.0,31.45,360.00
-106.0,31.5,360.00
-106.0,31.55,360.00
-106.0,31.6,360.00
-106.0,31.65,360.00
-106.0,31.7,360.00
-106.0,31.75,360.00
-106.0,31.8,360.00
-106.0,31.85,360.00
-106.0,31.9,360.00
-106.0,31.95,360.00
-106.0,32.0,360.00
-106.0,32.05,360.00
-106.0,32.1,360.00
-106.0,32.15,360.00
-106.0,32.2,360.00
-106.0,32.25,360.00
-106.0,32.3,360.00
-106.0,32.35,360.00
-106.0,32.4,360.00
-106.0,32.45,360.00
-106.0,32.5,360.00
-106.0,32.55,360.00
-106.0,32.6,360.00
-106.0,32.65,360.00
-106.0,32.7,360.00
-106.0,32.75,360.00
-106.0,32.8,360.00
-106.0,32.85,360.00
-106.0,32.9,360.00
-106.0,32.95,360.00
-106.0,33.0,360.00
-106.0,33.05,360.00
-106.0,33.1,360.00
-106.0,33.15,360.00
-106.0,33.2,360.00
-106.0,33.25,360.00
-106.0,33.3,360.00
-106.0,33.35,360.00
-106.0,33.4,360.00
-106.0,33.45,360.00
-106.0,33.5,360.00
-106.0,33.55,360.00
-106.0,33.6,360.00
-106.0,33.65,360.00
-106.0,33.7,360.00
-106.0,33.75,360.00
-106.0,33.8,360.00
-106.0,33.85,360.00
-106.0,33.9,360.00
-106.0,33.95,360.00
-106.0,34.0,360.00
-106.0,34.05,360.00
-106.0,34.1,360.00
-106.0,34.15,360.00
-106.0,34.2,360.00
-106.0,34.25,360.00
-106.0,34.3,360.00
-106.0,34.35,360.00
-106.0,34.4,360.00
-106.0,34.45,360.00
-106.0,34.5,360.00
-106.0,34.55,360.00
-106.0,34.6,360.00
-106.0,34.65,360.00
-106.0,34.7,360.00
-106.0,34.75,360.00
-106.0,34.8,360.00
-106.0,34.85,360.00
-106.0,34.9,360.00
-106.0,34.95,360.00
-106.0,35.0,360.00
-106.0,35.05,360.00
-106.0,35.1,360.00
-106.0,35.15,360.00
-106.0,35.2,360.00
-106.0,35.25,360.00
-106.0,35.3,360.00
-106.0,35.35,360.00
-106.0,35.4,360.00
-106.0,35.45,360.00
-106.0,35.5,360.00
-106.0,35.55,360.00
-106.0,35.6,360.00
-106.0,35.65,360.00
-106.0,35.7,360.00
-106.0,35.75,360.00
-106.0,35.8,360.00
-106.0,35.85,360.00
-106.0,35.9,360.00
-106.0,35.95,360.00
-106.0,36.0,360.00
-106.0,36.05,360.00
-106.0,36.1,360.00
-106.0,36.15,360.00
-106.0,36.2,360.00
-106.0,36.25,360.00
-106.0,36.3,360.00
-106.0,36.35,360.00
-106.0,36.4,360.00
-106.0,36.45,360.00
-105.95,28.2,360.00
-105.95,28.25,360.00
-105.95,28.3,360.00
-105.95,28.35,360.00
-105.95,28.4,360.00
-105.95,28.45,360.00
-105.95,28.5,360.00
-105.95,28.55,360.00
