LON,LAT,GAP
-80.0,-3.0,285.29
-80.0,-2.875,284.00
-80.0,-2.75,282.68
-80.0,-2.625,281.33
-80.0,-2.5,279.94
-80.0,-2.375,278.53
-80.0,-2.25,277.09
-80.0,-2.125,275.63
-80.0,-2.0,274.13
-80.0,-1.875,272.60
-80.0,-1.75,271.04
-80.0,-1.625,269.45
-80.0,-1.5,267.83
-80.0,-1.375,266.19
-80.0,-1.25,264.51
-80.0,-1.125,262.81
-80.0,-1.0,261.08
-80.0,-0.875,259.31
-80.0,-0.75,257.52
-80.0,-0.625,255.70
-80.0,-0.5,253.86
-80.0,-0.375,251.98
-80.0,-0.25,250.07
-80.0,-0.125,248.14
-80.0,0.0,246.17
-80.0,0.125,244.17
-80.0,0.25,242.15
-80.0,0.375,240.08
-80.0,0.5,237.98
-80.0,0.625,235.85
-80.0,0.75,233.67
-80.0,0.875,231.45
-80.0,1.0,229.18
-80.0,1.125,226.87
-80.0,1.25,224.49
-80.0,1.375,222.06
-80.0,1.5,219.56
-80.0,1.625,216.98
-80.0,1.75,214.16
-80.0,1.875,209.78
-80.0,2.0,205.39
-80.0,2.125,200.99
-80.0,2.25,196.56
-80.0,2.375,192.10
-80.0,2.5,187.58
-80.0,2.625,183.01
-80.0,2.75,178.34
-80.0,2.875,173.58
-80.0,3.0,168.71
-80.0,3.125,162.77
-80.0,3.25,156.62
-80.0,3.375,150.50
-80.0,3.5,144.39
-80.0,3.625,138.31
-80.0,3.75,132.25
-80.0,3.875,126.25
-80.0,4.0,120.33
-80.0,4.125,114.53
-80.0,4.25,108.89
-80.0,4.375,103.44
-80.0,4.5,98.46
-80.0,4.625,102.31
-80.0,4.75,105.95
-80.0,4.875,109.37
-80.0,5.0,112.57
-80.0,5.125,115.54
-80.0,5.25,118.29
-80.0,5.375,120.82
-80.0,5.5,123.16
-80.0,5.625,125.30
-80.0,5.75,127.28
-80.0,5.875,129.08
-80.0,6.0,130.74
-80.0,6.125,132.26
-80.0,6.25,133.65
-80.0,6.375,134.92
-80.0,6.5,136.09
-80.0,6.625,137.15
-80.0,6.75,138.13
-80.0,6.875,139.02
-80.0,7.0,139.83
-80.0,7.125,140.56
-80.0,7.25,141.23
-80.0,7.375,141.84
-80.0,7.5,142.39
-80.0,7.625,142.87
-80.0,7.75,143.31
-80.0,7.875,143.69
-80.0,8.0,144.03
-80.0,8.125,144.32
-80.0,8.25,144.56
-80.0,8.375,144.76
-80.0,8.5,144.91
-80.0,8.625,145.02
-80.0,8.75,145.09
-80.0,8.875,145.12
-80.0,9.0,145.11
-80.0,9.125,145.05
-80.0,9.25,144.95
-80.0,9.375,144.80
-80.0,9.5,144.61
-80.0,9.625,144.37
-80.0,9.75,144.08
-80.0,9.875,143.74
-80.0,10.0,143.34
-80.0,10.125,142.89
-80.0,10.25,142.37
-80.0,10.375,141.79
-80.0,10.5,141.14
-80.0,10.625,140.41
-80.0,10.75,139.59
-80.0,10.875,138.68
-80.0,11.0,137.68
-80.0,11.125,136.56
-80.0,11.25,135.32
-80.0,11.375,133.95
-80.0,11.5,132.43
-80.0,11.625,130.74
-80.0,11.75,128.87
-80.0,11.875,132.02
-80.0,12.0,135.40
-80.0,12.125,139.02
-80.0,12.25,142.91
-80.0,12.375,147.08
-80.0,12.5,151.55
-80.0,12.625,156.35
-80.0,12.75,161.47
-80.0,12.875,166.90
-80.0,13.0,172.62
-80.0,13.125,178.57
-80.0,13.25,184.70
-80.0,13.375,190.92
-80.0,13.5,197.13
-80.0,13.625,203.26
-80.0,13.75,209.20
-80.0,13.875,214.90
-79.875,-3.0,284.91
-79.875,-2.875,283.58
-79.875,-2.75,282.23
-79.875,-2.625,280.84
-79.875,-2.5,279.43
-79.875,-2.375,277.98
-79.875,-2.25,276.50
-79.875,-2.125,274.99
-79.875,-2.0,273.45
-79.875,-1.875,271.88
-79.875,-1.75,270.28
-79.875,-1.625,268.64
-79.875,-1.5,266.97
-79.875,-1.375,265.28
-79.875,-1.25,263.55
-79.875,-1.125,261.79
-79.875,-1.0,260.00
-79.875,-0.875,258.18
-79.875,-0.75,256.33
-79.875,-0.625,254.45
-79.875,-0.5,252.54
-79.875,-0.375,250.60
-79.875,-0.25,248.63
-79.875,-0.125,246.63
-79.875,0.0,244.60
-79.875,0.125,242.53
-79.875,0.25,240.44
-79.875,0.375,238.30
-79.875,0.5,236.14
-79.875,0.625,233.93
-79.875,0.75,231.68
-79.875,0.875,229.39
-79.875,1.0,227.06
-79.875,1.125,224.67
-79.875,1.25,222.23
-79.875,1.375,219.73
-79.875,1.5,217.17
-79.875,1.625,214.53
-79.875,1.75,210.98
-79.875,1.875,206.44
-79.875,2.0,201.93
-79.875,2.125,197.41
-79.875,2.25,192.90
-79.875,2.375,188.38
-79.875,2.5,183.84
-79.875,2.625,179.25
-79.875,2.75,174.61
-79.875,2.875,169.91
-79.875,3.0,164.08
-79.875,3.125,158.01
-79.875,3.25,152.06
-79.875,3.375,146.18
-79.875,3.5,140.37
-79.875,3.625,134.62
-79.875,3.75,128.92
-79.875,3.875,123.30
-79.875,4.0,117.78
-79.875,4.125,112.38
-79.875,4.25,107.12
-79.875,4.375,102.04
-79.875,4.5,97.16
-79.875,4.625,100.12
-79.875,4.75,103.55
-79.875,4.875,106.80
-79.875,5.0,109.86
-79.875,5.125,112.72
-79.875,5.25,115.38
-79.875,5.375,117.86
-79.875,5.5,120.15
-79.875,5.625,122.28
-79.875,5.75,124.23
-79.875,5.875,126.04
-79.875,6.0,127.70
-79.875,6.125,129.23
-79.875,6.25,130.64
-79.875,6.375,131.93
-79.875,6.5,133.12
-79.875,6.625,134.20
-79.875,6.75,135.20
-79.875,6.875,136.11
-79.875,7.0,136.94
-79.875,7.125,137.70
-79.875,7.25,138.39
-79.875,7.375,139.02
-79.875,7.5,139.58
-79.875,7.625,140.08
-79.875,7.75,140.53
-79.875,7.875,140.93
-79.875,8.0,141.27
-79.875,8.125,141.57
-79.875,8.25,141.82
-79.875,8.375,142.02
-79.875,8.5,142.18
-79.875,8.625,142.29
-79.875,8.75,142.35
-79.875,8.875,142.38
-79.875,9.0,142.36
-79.875,9.125,142.29
-79.875,9.25,142.18
-79.875,9.375,142.02
-79.875,9.5,141.81
-79.875,9.625,141.55
-79.875,9.75,141.24
-79.875,9.875,140.88
-79.875,10.0,140.46
-79.875,10.125,139.97
-79.875,10.25,139.43
-79.875,10.375,138.81
-79.875,10.5,138.13
-79.875,10.625,137.36
-79.875,10.75,136.51
-79.875,10.875,135.56
-79.875,11.0,134.52
-79.875,11.125,133.36
-79.875,11.25,132.08
-79.875,11.375,130.67
-79.875,11.5,129.11
-79.875,11.625,128.35
-79.875,11.75,131.35
-79.875,11.875,134.55
-79.875,12.0,137.95
-79.875,12.125,141.57
-79.875,12.25,145.42
-79.875,12.375,149.53
-79.875,12.5,153.91
-79.875,12.625,158.55
-79.875,12.75,163.46
-79.875,12.875,168.63
-79.875,13.0,174.02
-79.875,13.125,179.61
-79.875,13.25,185.32
-79.875,13.375,191.11
-79.875,13.5,196.89
-79.875,13.625,202.59
-79.875,13.75,208.16
-79.875,13.875,213.54
-79.75,-3.0,284.55
-79.75,-2.875,283.20
-79.75,-2.75,281.81
-79.75,-2.625,280.40
-79.75,-2.5,278.95
-79.75,-2.375,277.46
-79.75,-2.25,275.94
-79.75,-2.125,274.39
-79.75,-2.0,272.81
-79.75,-1.875,271.19
-79.75,-1.75,269.54
-79.75,-1.625,267.86
-79.75,-1.5,266.15
-79.75,-1.375,264.40
-79.75,-1.25,262.62
-79.75,-1.125,260.80
-79.75,-1.0,258.96
-79.75,-0.875,257.08
-79.75,-0.75,255.17
-79.75,-0.625,253.23
-79.75,-0.5,251.26
-79.75,-0.375,249.25
-79.75,-0.25,247.22
-79.75,-0.125,245.15
-79.75,0.0,243.06
-79.75,0.125,240.92
-79.75,0.25,238.76
-79.75,0.375,236.56
-79.75,0.5,234.33
-79.75,0.625,232.05
-79.75,0.75,229.74
-79.75,0.875,227.39
-79.75,1.0,224.98
-79.75,1.125,222.53
-79.75,1.25,220.03
-79.75,1.375,217.47
-79.75,1.5,214.85
-79.75,1.625,212.16
-79.75,1.75,207.78
-79.75,1.875,203.10
-79.75,2.0,198.45
-79.75,2.125,193.84
-79.75,2.25,189.26
-79.75,2.375,184.69
-79.75,2.5,180.12
-79.75,2.625,175.55
-79.75,2.75,170.95
-79.75,2.875,165.13
-79.75,3.0,159.04
-79.75,3.125,153.15
-79.75,3.25,147.41
-79.75,3.375,141.80
-79.75,3.5,136.29
-79.75,3.625,130.86
-79.75,3.75,125.52
-79.75,3.875,120.26
-79.75,4.0,115.11
-79.75,4.125,110.08
-79.75,4.25,105.18
-79.75,4.375,100.43
-79.75,4.5,95.87
-79.75,4.625,98.10
-79.75,4.75,101.34
-79.75,4.875,104.43
-79.75,5.0,107.35
-79.75,5.125,110.10
-79.75,5.25,112.67
-79.75,5.375,115.08
