LON,LAT,GAP
-105.9,28.2,134.54
-105.9,28.45,129.85
-105.9,28.7,125.37
-105.9,28.95,120.93
-105.9,29.2,116.45
-105.9,29.45,111.89
-105.9,29.7,107.24
-105.9,29.95,102.52
-105.9,30.2,97.75
-105.9,30.45,91.27
-105.9,30.7,83.20
-105.9,30.95,75.51
-105.9,31.2,68.41
-105.9,31.45,62.02
-105.9,31.7,56.35
-105.9,31.95,51.38
-105.9,32.2,47.04
-105.9,32.45,51.51
-105.9,32.7,54.71
-105.9,32.95,55.91
-105.9,33.2,54.23
-105.9,33.45,57.22
-105.9,33.7,62.72
-105.9,33.95,68.61
-105.9,34.2,76.91
-105.9,34.45,89.59
-105.9,34.7,110.19
-105.9,34.95,140.56
-105.9,35.2,170.85
-105.9,35.45,191.50
-105.9,35.7,201.70
-105.9,35.95,205.27
-105.9,36.2,208.82
-105.65,28.2,122.79
-105.65,28.45,119.83
-105.65,28.7,116.65
-105.65,28.95,113.25
-105.65,29.2,109.65
-105.65,29.45,105.87
-105.65,29.7,101.92
-105.65,29.95,97.85
-105.65,30.2,93.69
-105.65,30.45,87.97
-105.65,30.7,80.96
-105.65,30.95,74.21
-105.65,31.2,67.87
-105.65,31.45,62.04
-105.65,31.7,56.79
-105.65,31.95,52.09
-105.65,32.2,47.92
-105.65,32.45,46.26
-105.65,32.7,48.46
-105.65,32.95,52.18
-105.65,33.2,56.56
-105.65,33.45,61.85
-105.65,33.7,68.38
-105.65,33.95,76.44
-105.65,34.2,85.85
-105.65,34.45,98.91
-105.65,34.7,116.90
-105.65,34.95,139.25
-105.65,35.2,161.65
-105.65,35.45,179.87
-105.65,35.7,193.36
-105.65,35.95,202.37
-105.65,36.2,206.02
-105.4,28.2,111.22
-105.4,28.45,109.99
-105.4,28.7,108.10
-105.4,28.95,105.73
-105.4,29.2,102.99
-105.4,29.45,99.96
-105.4,29.7,96.69
-105.4,29.95,93.23
-105.4,30.2,89.65
-105.4,30.45,84.62
-105.4,30.7,78.52
-105.4,30.95,72.57
-105.4,31.2,66.92
-105.4,31.45,61.64
-105.4,31.7,56.80
-105.4,31.95,52.40
-105.4,32.2,48.44
-105.4,32.45,47.41
-105.4,32.7,50.92
-105.4,32.95,55.01
-105.4,33.2,59.84
-105.4,33.45,65.64
-105.4,33.7,72.73
-105.4,33.95,81.57
-105.4,34.2,92.32
-105.4,34.45,104.73
-105.4,34.7,120.20
-105.4,34.95,137.95
-105.4,35.2,155.80
-105.4,35.45,171.59
-105.4,35.7,184.51
-105.4,35.95,194.88
-105.4,36.2,203.22
-105.15,28.2,100.39
-105.15,28.45,100.63
-105.15,28.7,99.90
-105.15,28.95,98.49
-105.15,29.2,96.55
-105.15,29.45,94.23
-105.15,29.7,91.59
-105.15,29.95,88.71
-105.15,30.2,85.66
-105.15,30.45,81.25
-105.15,30.7,75.94
-105.15,30.95,70.71
-105.15,31.2,65.67
-105.15,31.45,60.91
-105.15,31.7,56.47
-105.15,31.95,43.13
-105.15,32.2,45.98
-105.15,32.45,49.23
-105.15,32.7,52.97
-105.15,32.95,57.32
-105.15,33.2,62.45
-105.15,33.45,68.55
-105.15,33.7,75.91
-105.15,33.95,84.86
-105.15,34.2,95.80
-105.15,34.45,108.36
-105.15,34.7,121.81
-105.15,34.95,136.62
-105.15,35.2,151.54
-105.15,35.45,165.36
-105.15,35.7,177.40
-105.15,35.95,187.64
-105.15,36.2,196.35
-104.9,28.2,84.23
-104.9,28.45,89.59
-104.9,28.7,91.88
-104.9,28.95,91.63
-104.9,29.2,90.41
-104.9,29.45,88.72
-104.9,29.7,86.67
-104.9,29.95,84.32
-104.9,30.2,81.76
-104.9,30.45,77.91
-104.9,30.7,73.29
-104.9,30.95,54.13
-104.9,31.2,63.25
-104.9,31.45,59.92
-104.9,31.7,55.87
-104.9,31.95,50.91
-104.9,32.2,47.31
-104.9,32.45,50.70
-104.9,32.7,54.59
-104.9,32.95,59.11
-104.9,33.2,64.38
-104.9,33.45,70.60
