LON,LAT,GAP
-80.0,-3.0,285.29
-80.0,-2.75,282.68
-80.0,-2.5,279.94
-80.0,-2.25,277.09
-80.0,-2.0,274.13
-80.0,-1.75,271.04
-80.0,-1.5,267.83
-80.0,-1.25,264.51
-80.0,-1.0,261.08
-80.0,-0.75,257.52
-80.0,-0.5,253.86
-80.0,-0.25,250.07
-80.0,0.0,246.17
-80.0,0.25,242.15
-80.0,0.5,237.98
-80.0,0.75,233.67
-80.0,1.0,229.18
-80.0,1.25,224.49
-80.0,1.5,219.56
-80.0,1.75,214.16
-80.0,2.0,205.39
-80.0,2.25,196.56
-80.0,2.5,187.58
-80.0,2.75,178.34
-80.0,3.0,168.71
-80.0,3.25,156.62
-80.0,3.5,144.39
-80.0,3.75,132.25
-80.0,4.0,120.33
-80.0,4.25,108.89
-80.0,4.5,98.46
-80.0,4.75,105.95
-80.0,5.0,112.57
-80.0,5.25,118.29
-80.0,5.5,123.16
-80.0,5.75,127.27
-80.0,6.0,130.74
-80.0,6.25,133.65
-80.0,6.5,136.09
-80.0,6.75,138.13
-80.0,7.0,139.83
-80.0,7.25,141.23
-80.0,7.5,142.39
-80.0,7.75,143.31
-80.0,8.0,144.03
-80.0,8.25,144.56
-80.0,8.5,144.91
-80.0,8.75,145.09
-80.0,9.0,145.11
-80.0,9.25,144.95
-80.0,9.5,144.61
-80.0,9.75,144.08
-80.0,10.0,143.34
-80.0,10.25,142.37
-80.0,10.5,141.14
-80.0,10.75,139.59
-80.0,11.0,137.68
-80.0,11.25,135.32
-80.0,11.5,132.43
-80.0,11.75,128.87
-80.0,12.0,135.40
-80.0,12.25,142.91
-80.0,12.5,151.55
-80.0,12.75,161.47
-80.0,13.0,172.62
-80.0,13.25,184.70
-80.0,13.5,197.13
-80.0,13.75,209.20
-79.75,-3.0,284.55
-79.75,-2.75,281.81
-79.75,-2.5,278.94
-79.75,-2.25,275.94
-79.75,-2.0,272.81
-79.75,-1.75,269.54
-79.75,-1.5,266.15
-79.75,-1.25,262.62
-79.75,-1.0,258.96
-79.75,-0.75,255.17
-79.75,-0.5,251.26
-79.75,-0.25,247.22
-79.75,0.0,243.06
-79.75,0.25,238.76
-79.75,0.5,234.33
-79.75,0.75,229.74
-79.75,1.0,224.98
-79.75,1.25,220.03
-79.75,1.5,214.85
-79.75,1.75,207.78
-79.75,2.0,198.45
-79.75,2.25,189.26
-79.75,2.5,180.12
-79.75,2.75,170.95
-79.75,3.0,159.04
-79.75,3.25,147.41
-79.75,3.5,136.29
-79.75,3.75,125.52
-79.75,4.0,115.11
-79.75,4.25,105.18
-79.75,4.5,95.87
-79.75,4.75,101.34
-79.75,5.0,107.35
-79.75,5.25,112.67
-79.75,5.5,117.33
-79.75,5.75,121.35
-79.75,6.0,124.80
-79.75,6.25,127.74
-79.75,6.5,130.24
-79.75,6.75,132.36
-79.75,7.0,134.14
-79.75,7.25,135.62
-79.75,7.5,136.83
-79.75,7.75,137.81
-79.75,8.0,138.57
-79.75,8.25,139.12
-79.75,8.5,139.48
-79.75,8.75,139.66
-79.75,9.0,139.65
-79.75,9.25,139.45
-79.75,9.5,139.06
-79.75,9.75,138.46
-79.75,10.0,137.63
-79.75,10.25,136.55
-79.75,10.5,135.19
-79.75,10.75,133.51
-79.75,11.0,131.46
-79.75,11.25,128.97
-79.75,11.5,127.74
-79.75,11.75,133.66
-79.75,12.0,140.28
-79.75,12.25,147.70
-79.75,12.5,156.00
-79.75,12.75,165.21
-79.75,13.0,175.25
-79.75,13.25,185.88
-79.75,13.5,196.71
-79.75,13.75,207.32
-79.5,-3.0,283.94
-79.5,-2.75,281.08
-79.5,-2.5,278.08
-79.5,-2.25,274.93
-79.5,-2.0,271.63
-79.5,-1.75,268.18
-79.5,-1.5,264.59
-79.5,-1.25,260.85
-79.5,-1.0,256.97
-79.5,-0.75,252.94
-79.5,-0.5,248.79
-79.5,-0.25,244.49
-79.5,0.0,240.07
-79.5,0.25,235.51
-79.5,0.5,230.82
-79.5,0.75,225.98
