LON,LAT,GAP
-106.0,28.2,360.00
-106.0,28.21,360.00
-106.0,28.22,360.00
-106.0,28.23,360.00
-106.0,28.24,360.00
-106.0,28.25,360.00
-106.0,28.26,360.00
-106.0,28.27,360.00
-106.0,28.28,360.00
-106.0,28.29,360.00
-106.0,28.3,360.00
-106.0,28.31,360.00
-106.0,28.32,360.00
-106.0,28.33,360.00
-106.0,28.34,360.00
-106.0,28.35,360.00
-106.0,28.36,360.00
-106.0,28.37,360.00
-106.0,28.38,360.00
-106.0,28.39,360.00
-106.0,28.4,360.00
-106.0,28.41,360.00
-106.0,28.42,360.00
-106.0,28.43,360.00
-106.0,28.44,360.00
-106.0,28.45,360.00
-106.0,28.46,360.00
-106.0,28.47,360.00
-106.0,28.48,360.00
-106.0,28.49,360.00
-106.0,28.5,360.00
-106.0,28.51,360.00
-106.0,28.52,360.00
-106.0,28.53,360.00
-106.0,28.54,360.00
-106.0,28.55,360.00
-106.0,28.56,360.00
-106.0,28.57,360.00
-106.0,28.58,360.00
-106.0,28.59,360.00
-106.0,28.6,360.00
-106.0,28.61,360.00
-106.0,28.62,360.00
-106.0,28.63,360.00
-106.0,28.64,360.00
-106.0,28.65,360.00
-106.0,28.66,360.00
-106.0,28.67,360.00
-106.0,28.68,360.00
-106.0,28.69,360.00
-106.0,28.7,360.00
-106.0,28.71,360.00
-106.0,28.72,360.00
-106.0,28.73,360.00
-106.0,28.74,360.00
-106.0,28.75,360.00
-106.0,28.76,360.00
-106.0,28.77,360.00
-106.0,28.78,360.00
-106.0,28.79,360.00
-106.0,28.8,360.00
-106.0,28.81,360.00
-106.0,28.82,360.00
-106.0,28.83,360.00
-106.0,28.84,360.00
-106.0,28.85,360.00
-106.0,28.86,360.00
-106.0,28.87,360.00
-106.0,28.88,360.00
-106.0,28.89,360.00
-106.0,28.9,360.00
-106.0,28.91,360.00
-106.0,28.92,360.00
-106.0,28.93,360.00
-106.0,28.94,360.00
-106.0,28.95,360.00
-106.0,28.96,360.00
-106.0,28.97,360.00
-106.0,28.98,360.00
-106.0,28.99,360.00
-106.0,29.0,360.00
-106.0,29.01,360.00
-106.0,29.02,360.00
-106.0,29.03,360.00
-106.0,29.04,360.00
-106.0,29.05,360.00
-106.0,29.06,360.00
-106.0,29.07,360.00
-106.0,29.08,360.00
-106.0,29.09,360.00
-106.0,29.1,360.00
-106.0,29.11,360.00
-106.0,29.12,360.00
-106.0,29.13,360.00
-106.0,29.14,360.00
-106.0,29.15,360.00
-106.0,29.16,360.00
-106.0,29.17,360.00
-106.0,29.18,360.00
-106.0,29.19,360.00
-106.0,29.2,360.00
-106.0,29.21,360.00
-106.0,29.22,360.00
-106.0,29.23,360.00
-106.0,29.24,360.00
-106.0,29.25,360.00
-106.0,29.26,360.00
-106.0,29.27,360.00
-106.0,29.28,360.00
-106.0,29.29,360.00
-106.0,29.3,360.00
-106.0,29.31,360.00
-106.0,29.32,360.00
-106.0,29.33,360.00
-106.0,29.34,360.00
-106.0,29.35,360.00
-106.0,29.36,360.00
-106.0,29.37,360.00
-106.0,29.38,360.00
-106.0,29.39,360.00
-106.0,29.4,360.00
-106.0,29.41,360.00
-106.0,29.42,360.00
-106.0,29.43,360.00
-106.0,29.44,360.00
-106.0,29.45,360.00
-106.0,29.46,360.00
-106.0,29.47,360.00
-106.0,29.48,360.00
-106.0,29.49,360.00
-106.0,29.5,360.00
-106.0,29.51,360.00
-106.0,29.52,360.00
-106.0,29.53,360.00
-106.0,29.54,360.00
-106.0,29.55,360.00
-106.0,29.56,360.00
-106.0,29.57,360.00
-106.0,29.58,360.00
-106.0,29.59,360.00
-106.0,29.6,360.00
-106.0,29.61,360.00
-106.0,29.62,360.00
-106.0,29.63,360.00
-106.0,29.64,360.00
-106.0,29.65,360.00
-106.0,29.66,360.00
-106.0,29.67,360.00
-106.0,29.68,360.00
-106.0,29.69,360.00
-106.0,29.7,360.00
