sta,lon,lat
KVTX,-97.8929,27.5459
JCT,-99.8022,30.4794
NATX,-94.661,31.7598
MNTX,-105.3821,31.6985
MIAR,-93.5765,34.5454
WMOK,-98.7807,34.7379
AMTX,-101.6808,34.8837
CBKS,-99.7374,38.814
CCIG,-92.136917,16.281885
TLIG,-98.566467,17.562675
ZAIG,-102.567001,22.769199
CGIG,-107.977352,30.365044
HPIG,-105.664017,26.936794
MCIG,-101.483627,27.977093
MYIG,-89.639614,20.948069
LVIG,-96.4185,19.72622
BCIG,-105.412656,27.544763
LNIG,-99.465617,24.898167
MNIG,-100.29,26.61
NZIG,-109.554158,30.373054
SCIG,-91.186588,18.967037
SP00,-106.919,34.074
Y22A,-106.965202,33.937
CL2B,-103.878601,32.264168
CPRX,-103.867302,33.0308
DAG,-104.691704,32.591
GDL2,-104.363701,32.200802
HTMS,-103.634163,32.4725
CBET,-103.999001,32.420502
CL7,-103.8084,32.413
SRH,-104.515381,32.491749
SSS,-103.396835,32.354599
JAL,-103.22932,32.20241
PDB,-103.59662,32.0722
121A,-107.785103,32.532398
LEM,-106.974167,34.165501
SBY,-107.180664,33.975166
SMC,-107.019302,33.778667
HKT,-95.838402,29.9618
ANMO,-106.457199,34.945911
TEIG,-88.276299,20.226299
KIDD,-106.506376,31.771774
FW11,-97.12787,32.72273
FW04,-96.92325,32.84763
FW09,-96.913922,32.92282
FW02,-97.34255,32.95019
FW05,-96.747081,32.988669
FW06,-97.55693,32.972559
FW07,-97.786092,32.702466
FW12,-97.148597,32.499076
FW01,-96.87833,32.684047
FW13,-97.43112,32.35172
FW14,-97.1923,32.3991
WTFS,-98.46455,33.76622
DKNS,-100.92365,33.66653
APMT,-100.12155,33.32512
POST,-101.50105,33.0662
ODSA,-102.54913,32.12009
SAND,-102.12331,29.95471
PECS,-103.86697,31.37045
VHRN,-104.985193,30.786736
SGCY,-101.12639,31.91436
OZNA,-101.12708,30.92195
HNDO,-99.28081,29.5288
BRDY,-98.999447,31.285872
HBVL,-98.669634,27.064992
DRIO,-100.61888,29.42311
PB08,-102.90736,30.89174
PB01,-103.78112,30.94367
SN07,-100.89172,33.09092
CRHG,-94.22517,32.28884
PB07,-103.66793,31.57935
PB03,-103.51395,31.08384
PB05,-103.3247,30.91978
EF04,-97.78986,29.21003
PB11,-104.03412,31.93553
EF03,-97.98036,28.94704
SN04,-100.86952,32.89878
SN03,-100.94118,32.92429
SN02,-100.91106,32.86452
PB06,-103.21825,31.6472
FW15,-97.3695,32.7044
PB10,-103.754585,31.283607
PH03,-101.551399,35.3574
PH02,-101.946743,35.39086
EF05,-97.517897,28.989876
PB12,-103.9577,31.2133
MB02,-102.037907,31.19806
MB04,-102.48802,32.62542
SN08,-101.060724,32.782579
237B,-95.808403,32.001499
ET01,-94.36497,31.46512
833A,-99.939,28.3236
EF02,-98.5311,28.7755
435B,-97.585,30.7827
PB16,-103.252,31.12496
PB04,-103.2694,31.18697
MB06,-101.7999756,31.9779827
MB05,-101.8597158,32.6265397
MB01,-102.0829098,31.6677338
SN10,-100.72388,33.04918
PCOS,-103.510147,31.408922
PB09,-104.301444,31.774145
PB13,-103.8458,31.5542
PB14,-103.1511,31.12932
PB18,-103.1996,31.20084
MB07,-102.25277,32.00061
FLRS,-98.38039,29.12809
PB21,-103.06216,31.341918
SN09,-100.739412,32.672969
MNHN,-102.76141,31.34023
MLDN,-97.068723,29.822212
SNAG,-94.17877,31.51818
PLPT,-98.31578,32.81276
SMWD,-100.24248,35.10455
DRZT,-100.29688,36.44401
RTBA,-102.73743,36.43795
DG01,-103.271077,31.377576
ALPN,-103.63852,30.37448
PB17,-103.15182,30.99675
PB30,-103.3227,31.2804
PB28,-104.50077,31.66864
PB29,-104.514453,31.75299
PB19,-103.099701,31.303087
PB31,-104.030536,31.73226
TREL,-96.08933,32.73039
DG02,-103.54313,31.40151
DG04,-103.41261,31.28734
DG05,-103.493279,31.17007
DG06,-103.4845,31.4124
DG07,-103.52788,31.452888
DG08,-103.7242,31.19053
DG09,-103.51277,31.37222
PB32,-103.37278,31.10306
MB08,-102.328853,31.884448
OG01,-102.305318,31.934943
OG02,-102.323853,31.954503
PB22,-103.076924,31.211658
OG04,-102.35986,31.92935
MB09,-101.82,32.3391
MB10,-101.792,32.2651
PB33,-104.054045,31.534929
INDO,-100.298344,28.467247
PB34,-104.037778,31.676667
ELG6,-100.3263558,28.4816558
MB11,-101.972645,32.146839
MB12,-101.602778,32.368611
PB35,-104.43203,31.656187
PB37,-104.528416,31.71847
PB38,-104.426634,31.72972
PB40,-103.9339588,31.6419935
PB42,-103.640224,31.764578
PB43,-103.864872,31.680019
MB13,-101.633469,32.321431
PB20,-104.06179,31.6281
PB23,-104.07276,31.66404
PB24,-104.01776,31.61979
PB25,-104.07019,31.58308
PB26,-104.12579,31.57819
PB36,-104.425899,31.680262
MB14,-101.618194,32.209722
MB15,-102.1659308,32.3938394
MB16,-102.236844,32.337047
MB17,-102.04114,32.031106
MB18,-102.171812,32.082143
PB44,-103.986965,31.92377
YK01,-103.008071,33.110552
MB03,-100.615009,31.741898
MB19,-101.71205,32.396522
PB51,-103.381836,31.940163
MB22,-101.721534,32.518495
MB21,-101.727966,32.343507
MB23,-101.800869,32.386609
MB25,-102.4867,32.02737
PB46,-103.475133,31.706947
PB47,-103.3351,31.741433
JRQG,-100.446976,20.703686
UNM,-99.178062,19.329662
319A,-109.280899,31.3757
EF56,-97.1894,29.5828
EF54,-97.6301,29.1577
EF58,-98.723,28.8365
EF59,-98.4191,28.9501
EF73,-97.8966,28.9826
EF51,-98.4979,28.7897
EF64,-97.3128,29.7397
EF63,-97.4637,29.5756
EF74,-98.4242,28.4376
EF62,-97.685,29.3651
EF69,-98.2802,28.6338
EF71,-98.0439,28.6281
EF66,-97.1239,29.351
EF68,-97.9893,28.7685
EF65,-96.9805,29.6716
EF75,-97.832,28.6933
EF72,-97.59197,28.86009
EF61,-97.9834,29.1253
EF67,-97.3682,29.1298
EF53,-97.8044,29.0551
EF55,-97.4153,29.2628
EF76,-98.1947,28.5203
EF52,-98.20175,28.84362
EF77,-97.97107,28.24334
WLAR,-93.112,33.688
ELIS,-99.418045,36.065254
LOOK,-97.179993,33.992428
X37A,-95.3713,34.589199
FNO,-97.401154,35.257381
W35A,-96.874527,35.15274
X34A,-97.832558,34.601021
441B,-93.189796,30.7498
545B,-90.489403,30.0441
735B,-97.808197,28.855301
ABTX,-99.643097,32.623798
MSTX,-102.7724,33.969601
WHTX,-97.4561,31.991301
Z35B,-97.252998,33.330898
Z38B,-94.985199,33.259899
TX01,-103.6677,29.334
TX02,-103.658,29.3299
TX03,-103.6743,29.3314
TX04,-103.6673,29.3399
TX06,-103.682,29.319
